SYMB_COMPANY_NAME,SM_KEY_SYMBOL,SM_NEW_SYMBOL,SM_APPLICABLE_FROM
NIPPON INDIA MF - Nippon India DA Fixed Tenure Fund   Sr x Plan B - GO,RDAXBDG,NDAXBDG,30-Oct-19
NIPPON INDIA MF- Nippon India DA Fixed Tenure Fund Sr x Plan B - DPO,RDAXBDD,NDAXBDD,30-Oct-19
NIPPON INDIA MF- Nippon India DA Fixed Tenure Fund Sr x Plan B-DP-DPO,RDAXBDDD,NDAXBDDD,30-Oct-19
NIPPON INDIA MF-Nippon India  Dual Adv. Fix. Ten. Fund Sr.x Plan C-GO,RDAXCDG,NDAXCDG,30-Oct-19
NIPPON INDIA MF-Nippon India  Dual Adv. Fix.Ten. Fund Sr.x Plan C-DPO,RDAXCDD,NDAXCDD,30-Oct-19
NIPPON INDIA MF-Nippon India DA Fixed Tenure Fund Sr x Plan B -DP - GO,RDAXBDDG,NDAXBDDG,30-Oct-19
NIPPON INDIA MF-Nippon India Dual Adv.FixTen. Fund Sr.x Plan C-DP-GO,RDAXCDDG,NDAXCDDG,30-Oct-19
NIPPON INDIA MF-Nippon India DualAdv. Fix.Ten. Fund Sr.x Plan C-DP-DPO,RDAXCDDD,NDAXCDDD,30-Oct-19
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-D,RDAFTFIVCD,NDAFTFIVCD,30-Oct-19
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-DD,RDAFTIVCDD,NDAFTIVCDD,30-Oct-19
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-DG,RDAFTIVCDG,NDAFTIVCDG,30-Oct-19
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-G,RDAFTFIVCG,NDAFTFIVCG,30-Oct-19
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DAFTF II - P - G - DP,RDAFTIIPGD,NDAFTIIPGD,30-Oct-19
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DAFTF II - P - G - Growth,RDAFTIIPGG,NDAFTIIPGG,30-Oct-19
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XI Plan A - GO,RDAXIADG,NDAXIADG,30-Oct-19
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XI Plan D-DPDPO,RDAXIDDDD,NDAXIDDDD,30-Oct-19
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XI Plan D-DPGO,RDAXIDDDG,NDAXIDDDG,30-Oct-19
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XI Plan D-GO,RDAXIDDG,NDAXIDDG,30-Oct-19
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XII Plan A-DPDPO,RDAXIIADDD,NDAXIIADDD,30-Oct-19
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPDPO,RDAFDVHDR,NDAFDVHDR,30-Oct-19
